areastring,region,area,palmitic,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic,regionstring
North-Apulia,1,1,10.75,0.75,2.26,78.23,6.72,0.36,0.6,0.29,South
North-Apulia,1,1,10.88,0.73,2.24,77.09,7.81,0.31,0.61,0.29,South
North-Apulia,1,1,9.11,0.54,2.46,81.13,5.49,0.31,0.63,0.29,South
North-Apulia,1,1,9.66,0.57,2.4,79.52,6.19,0.5,0.78,0.35,South
North-Apulia,1,1,10.51,0.67,2.59,77.71,6.72,0.5,0.8,0.46,South
North-Apulia,1,1,9.11,0.49,2.68,79.24,6.78,0.51,0.7,0.44,South
North-Apulia,1,1,9.22,0.66,2.64,79.9,6.18,0.49,0.56,0.29,South
North-Apulia,1,1,11.0,0.61,2.35,77.28,7.34,0.39,0.64,0.35,South
North-Apulia,1,1,10.82,0.6,2.39,77.45,7.09,0.46,0.83,0.33,South
North-Apulia,1,1,10.37,0.55,2.13,79.44,6.33,0.26,0.52,0.3,South
North-Apulia,1,1,10.51,0.35,2.19,79.78,6.05,0.21,0.65,0.24,South
North-Apulia,1,1,10.36,0.59,2.35,78.68,6.61,0.3,0.62,0.44,South
North-Apulia,1,1,10.74,0.7,2.14,77.28,7.47,0.5,0.79,0.33,South
North-Apulia,1,1,8.75,0.52,2.43,80.18,6.55,0.41,0.79,0.32,South
North-Apulia,1,1,9.52,0.49,2.54,77.95,7.8,0.5,0.75,0.41,South
North-Apulia,1,1,11.55,0.98,2.01,76.06,8.16,0.32,0.6,0.29,South
North-Apulia,1,1,9.43,0.94,1.83,78.4,7.88,0.42,0.75,0.31,South
North-Apulia,1,1,12.78,0.69,2.05,73.44,9.57,0.45,0.7,0.28,South
North-Apulia,1,1,9.61,0.7,1.95,79.58,7.42,0.46,0.75,0.3,South
North-Apulia,1,1,9.52,0.77,2.58,78.2,7.36,0.43,0.78,0.33,South
North-Apulia,1,1,10.74,0.67,2.36,76.92,7.16,0.56,0.83,0.45,South
North-Apulia,1,1,9.95,0.46,2.88,78.06,6.79,0.56,0.86,0.4,South
North-Apulia,1,1,10.56,0.53,2.47,77.03,7.0,0.54,0.89,0.51,South
North-Apulia,1,1,10.65,0.39,2.34,78.76,7.03,0.42,0.74,0.26,South
North-Apulia,1,1,10.65,0.45,2.45,77.79,6.96,0.47,0.82,0.38,South
Calabria,1,2,13.15,1.39,2.3,72.99,8.32,0.42,0.6,0.32,South
Calabria,1,2,13.21,1.36,2.17,71.74,9.5,0.43,0.63,0.3,South
Calabria,1,2,13.59,1.15,2.46,72.34,8.74,0.45,0.63,0.18,South
Calabria,1,2,13.78,1.11,2.72,71.27,9.4,0.46,0.64,0.23,South
Calabria,1,2,12.95,1.09,2.45,72.53,9.03,0.43,0.62,0.38,South
Calabria,1,2,12.75,1.21,2.15,72.85,8.92,0.4,0.68,0.41,South
Calabria,1,2,13.36,1.2,3.18,70.83,9.15,0.5,0.7,0.38,South
Calabria,1,2,13.09,1.22,2.41,72.57,8.7,0.46,0.72,0.35,South
Calabria,1,2,13.4,1.14,1.89,73.37,8.2,0.48,0.72,0.21,South
