Country,hRank,hScore,GDP
Norway,1,7.537000179290769,1.6164631843566901
Denmark,2,7.52199983596802,1.48238301277161
Iceland,3,7.50400018692017,1.480633020401
Switzerland,4,7.49399995803833,1.5649795532226598
Finland,5,7.468999862670901,1.44357192516327
Netherlands,6,7.3769998550415,1.50394463539124
Canada,7,7.31599998474121,1.47920441627502
New Zealand,8,7.31400012969971,1.40570604801178
Sweden,9,7.28399991989136,1.49438726902008
Australia,10,7.28399991989136,1.4844149351120002
Israel,11,7.212999820709231,1.3753824234008798
Costa Rica,12,7.0789999961853,1.10970628261566
Austria,13,7.00600004196167,1.4870972633361799
United States,14,6.993000030517581,1.54625928401947
Ireland,15,6.9770002365112305,1.5357066392898602
Germany,16,6.9510002136230495,1.48792338371277
Belgium,17,6.89099979400635,1.4637807607650801
Luxembourg,18,6.86299991607666,1.74194359779358
United Kingdom,19,6.71400022506714,1.44163393974304
Chile,20,6.65199995040894,1.25278460979462
United Arab Emirates,21,6.6479997634887695,1.6263433694839498
Brazil,22,6.6350002288818395,1.1073532104492199
Czech Republic,23,6.60900020599365,1.35268235206604
Argentina,24,6.59899997711182,1.18529546260834
Mexico,25,6.57800006866455,1.1531838178634601
Singapore,26,6.57200002670288,1.69227766990662
Malta,27,6.52699995040894,1.34327983856201
Uruguay,28,6.4539999961853,1.2175596952438401
Guatemala,29,6.4539999961853,0.872001945972443
Panama,30,6.4520001411438,1.23374843597412
France,31,6.44199991226196,1.43092346191406
Thailand,32,6.4239997863769505,1.12786877155304
Taiwan Province of China,33,6.42199993133545,1.4336265325546298
Spain,34,6.40299987792969,1.38439786434174
Qatar,35,6.375,1.8707656860351598
Colombia,36,6.35699987411499,1.07062232494354
Saudi Arabia,37,6.343999862670901,1.53062355518341
Trinidad and Tobago,38,6.1680002212524405,1.36135590076447
Kuwait,39,6.10500001907349,1.63295245170593
Slovakia,40,6.09800004959106,1.32539355754852
Bahrain,41,6.08699989318848,1.4884122610092199
Malaysia,42,6.08400011062622,1.29121541976929
Nicaragua,43,6.07100009918213,0.737299203872681
Ecuador,44,6.00799989700317,1.00082039833069
El Salvador,45,6.002999782562259,0.9097844958305359
Poland,46,5.97300004959106,1.29178786277771
Uzbekistan,47,5.97100019454956,0.786441087722778
Italy,48,5.96400022506714,1.3950666189193701
Russia,49,5.962999820709231,1.28177809715271
Belize,50,5.955999851226809,0.907975316047668
Japan,51,5.92000007629395,1.41691517829895
Lithuania,52,5.90199995040894,1.3145823478698702
Algeria,53,5.872000217437741,1.09186446666718
Latvia,54,5.849999904632571,1.26074862480164
South Korea,55,5.837999820709231,1.40167844295502
Moldova,56,5.837999820709231,0.7288706302642819
Romania,57,5.824999809265139,1.21768391132355
Bolivia,58,5.82299995422363,0.833756566047668
Turkmenistan,59,5.82200002670288,1.1307767629623402
Kazakhstan,60,5.8189997673034695,1.2845562696456898
North Cyprus,61,5.80999994277954,1.3469113111496
Slovenia,62,5.75799989700317,1.3412059545516999
Peru,63,5.71500015258789,1.0352252721786501
Mauritius,64,5.62900018692017,1.1893955469131499
Cyprus,65,5.62099981307983,1.3559380769729599
Estonia,66,5.61100006103516,1.3208793401718102
Belarus,67,5.5689997673034695,1.15655755996704
Libya,68,5.525000095367429,1.1018030643463101
Turkey,69,5.5,1.1982743740081798
Paraguay,70,5.493000030517581,0.932537317276001
"Hong Kong S.A.R., China",71,5.47200012207031,1.55167484283447
Philippines,72,5.42999982833862,0.85769921541214
Serbia,73,5.39499998092651,1.06931757926941
Jordan,74,5.33599996566772,0.9910123944282528
Hungary,75,5.32399988174438,1.2860119342803997
Jamaica,76,5.31099987030029,0.925579309463501
Croatia,77,5.2930002212524405,1.22255623340607
Kosovo,78,5.27899980545044,0.951484382152557
China,79,5.2729997634887695,1.08116579055786
Pakistan,80,5.26900005340576,0.7268835306167599
Indonesia,81,5.26200008392334,0.995538592338562
Venezuela,82,5.25,1.12843120098114
Montenegro,83,5.23699998855591,1.12112903594971
Morocco,84,5.2350001335144,0.8781145811080929
Azerbaijan,85,5.234000205993651,1.1536017656326298
Dominican Republic,86,5.230000019073491,1.07937383651733
Greece,87,5.2270002365112305,1.28948748111725
Lebanon,88,5.22499990463257,1.07498753070831
Portugal,89,5.19500017166138,1.3151752948761002
Bosnia and Herzegovina,90,5.18200016021729,0.982409417629242
Honduras,91,5.1810002326965305,0.730573117733002
Macedonia,92,5.175000190734861,1.06457793712616
Somalia,93,5.151000022888179,0.0226431842893362
Vietnam,94,5.07399988174438,0.7885475754737851
Nigeria,95,5.07399988174438,0.783756256103516
Tajikistan,96,5.04099988937378,0.524713635444641
Bhutan,97,5.01100015640259,0.885416388511658
