Week,Lecture,Lecture,Lab,A-Section TF,Assignment (release and due) 
1,,"Lecture 0: What is Data Science?  Data, Visualizations ","Intro to Python (numpy, graphing libraries, program structure, Jupyter Notebook)",,
2,"Lecture 1: Data, Summaries, and Visuals","Lecture 2: Data Engineering, Grammar of Data","Python: numpy, functions, Pandas, matplotlib",,
3,Lecture 3: Effective Exploratory Data Analysis and Visualization,"Lecture 4: Linear Regression, kNN Regression and Inference",skLearn and simple Linear Regression,,
4,Lecture 5: kNN Regression  and Linear Regression (reading: ISL section 3.1 (page 58-70)),"Lecture 6: Multiple Linear Regression, Polynomial Regression and Model Selection",Multi-Regression and c-val,,
5,Lecture 7: Regularization,Lecture 8: PCA,Model Selection and Regularization,,
6,No Lecture,Lecture 9: Visualization for Communication,No Lab,,
7,Lecture 10: Logistic Regression I,Lecture 11: Logistic Regression II,"Logistic Regression, PCA",,
8,"Lecture 12:  Neural Networks 1 - Perceptron, Back Propagation",Lecture 13: k-NN Classification and Dealing with Missingness,Neural Networks (NN1),,
9,Lecture 14: LDA and QDA,Lecture 15: Classification Trees,Discriminant Analysis & Classification Trees,,
10,Lecture 16: Regression Trees Bagging RF,Lecture 17: Boosting Methods,Random Forests and Boosting,,
11,Lecture 18:  Neural Networks 2,"Lecture 19: Neural Networks 2. NN as a function approximation, universal approximation and design choices",NN2 : Introduction to Keras,,
12,Lecture 20: SVM,No Lecture,No Lab,,
13,Lecture 21: Stacking,Lecture 22: Responsible DS [guest lecture],How to build your project website,,
14,Lecture 23: AB Testing,Lecture 24: Final,No more Labs,,
15,M,10-Dec,Reading Period,,
16,M,17-Dec,Finals Week,,
