motivation,num_recipients,recipients,title,year
“for decisive contributions to the LIGO detector and the observation of gravitational waves”,3,"['Rainer Weiss', 'Barry C. Barish', 'Kip S. Thorne']",The Nobel Prize in Physics,2017
“for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution”,3,"['Jacques Dubochet', 'Joachim Frank', 'Richard Henderson']",The Nobel Prize in Chemistry,2017
“for their discoveries of molecular mechanisms controlling the circadian rhythm”,3,"['Jeffrey C. Hall', 'Michael Rosbash', 'Michael W. Young']",The Nobel Prize in Physiology or Medicine,2017
"“who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world”",1,['Kazuo Ishiguro'],The Nobel Prize in Literature,2017
“for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons”,1,['International Campaign to Abolish Nuclear Weapons (ICAN) '],The Nobel Peace Prize,2017
“for his contributions to behavioural economics”,1,['Richard H. Thaler'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2017
“for theoretical discoveries of topological phase transitions and topological phases of matter”,3,"['David J. Thouless', 'F. Duncan M. Haldane', 'J. Michael Kosterlitz']",The Nobel Prize in Physics,2016
“for the design and synthesis of molecular machines”,3,"['Jean-Pierre Sauvage', 'Sir J. Fraser Stoddart', 'Bernard L. Feringa']",The Nobel Prize in Chemistry,2016
“for his discoveries of mechanisms for autophagy”,1,['Yoshinori Ohsumi'],The Nobel Prize in Physiology or Medicine,2016
“for having created new poetic expressions within the great American song tradition”,1,['Bob Dylan'],The Nobel Prize in Literature,2016
“for his resolute efforts to bring the country’s more than 50-year-long civil war to an end”,1,['Juan Manuel Santos'],The Nobel Peace Prize,2016
“for their contributions to contract theory”,2,"['Oliver Hart', 'Bengt Holmström']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2016
"“for the discovery of neutrino oscillations, which shows that neutrinos have mass”",2,"['Takaaki Kajita', 'Arthur B. McDonald']",The Nobel Prize in Physics,2015
“for mechanistic studies of DNA repair”,3,"['Tomas Lindahl', 'Paul Modrich', 'Aziz Sancar']",The Nobel Prize in Chemistry,2015
“for their discoveries concerning a novel therapy against infections caused by roundworm parasites”,3,"['William C. Campbell', 'Satoshi Ōmura', 'Youyou Tu']",The Nobel Prize in Physiology or Medicine,2015
"“for her polyphonic writings, a monument to suffering and courage in our time”",1,['Svetlana Alexievich'],The Nobel Prize in Literature,2015
“for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011”,1,['National Dialogue Quartet '],The Nobel Peace Prize,2015
"“for his analysis of consumption, poverty, and welfare”",1,['Angus Deaton'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2015
“for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources”,3,"['Isamu Akasaki', 'Hiroshi Amano', 'Shuji Nakamura']",The Nobel Prize in Physics,2014
“for the development of super-resolved fluorescence microscopy”,3,"['Eric Betzig', 'Stefan W. Hell', 'William E. Moerner']",The Nobel Prize in Chemistry,2014
“for their discoveries of cells that constitute a positioning system in the brain”,3,"['John O’Keefe', 'May-Britt Moser', 'Edvard I. Moser']",The Nobel Prize in Physiology or Medicine,2014
“for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation”,1,['Patrick Modiano'],The Nobel Prize in Literature,2014
