objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237648704577142822,183.531325694133,0.0896930301317096,19.47406,17.0424,15.94699,15.50342,15.22531,752,301,4,267,3722360139651588096,STAR,-8.955967E-06,3306,54922,491
1237648704577142859,183.598370535872,0.135285032246653,18.6628,17.21449,16.67637,16.48922,16.3915,752,301,4,267,363814405953054720,STAR,-5.491128E-05,323,51615,541
1237648704577208477,183.680207441114,0.126185092322292,19.38298,18.19169,17.47428,17.08732,16.80125,752,301,4,268,323274319570429952,GALAXY,0.1231112,287,52023,513
1237648704577273907,183.870529428039,0.0499106850602565,17.76536,16.60272,16.16116,15.98233,15.90438,752,301,4,269,3722365362331820032,STAR,-0.0001106159,3306,54922,510
1237648704577273909,183.883288300757,0.102556751901392,17.55025,16.26342,16.43869,16.55492,16.61326,752,301,4,269,3722365912087633920,STAR,0.0005903565,3306,54922,512
1237648704577273970,183.847173555454,0.173694164045785,19.43133,18.46779,18.16451,18.01475,18.04155,752,301,4,269,364954875244603392,STAR,0.0003146027,324,51666,594
1237648704577273992,183.864379023055,0.0192007114116613,19.38322,17.88995,17.10537,16.66393,16.36955,752,301,4,269,323286963954149376,GALAXY,0.1002423,287,52023,559
1237648704577274016,183.900081418135,0.187473296678452,18.97993,17.84496,17.38022,17.20673,17.07071,752,301,4,269,3722366736721354752,STAR,0.0003148482,3306,54922,515
1237648704577339400,183.92458850092,0.0972457823377776,17.90616,16.97172,16.67541,16.53776,16.47596,752,301,4,270,363829249360029696,STAR,8.911928E-05,323,51615,595
1237648704577339546,183.973497678925,0.0816255816114345,18.67249,17.71375,17.49362,17.28284,17.22644,752,301,4,270,324369157887911936,GALAXY,0.04050813,288,52000,400
1237648704577339553,183.979194460504,0.135997822421441,19.29772,17.80227,17.18266,16.92335,16.79928,752,301,4,270,3722364262820192256,STAR,-3.457434E-05,3306,54922,506
1237648704577404955,184.085331089266,0.112110022208472,18.83307,17.51785,16.94273,16.71418,16.60521,752,301,4,271,3722375532814376960,STAR,0.0006227744,3306,54922,547
1237648704577405025,184.102097884192,0.191510916465875,19.5625,18.19113,17.65759,17.47573,17.39203,752,301,4,271,3722374708180656128,STAR,5.466255E-05,3306,54922,544
1237648704577405051,184.160510151936,0.0756453127968689,19.5799,17.72815,16.9874,16.68076,16.50426,752,301,4,271,3722375257936470016,STAR,8.29558E-06,3306,54922,546
1237648704577405071,184.189573804239,0.0994824678579993,19.25667,17.54869,16.63578,16.14922,15.76639,752,301,4,271,324366134230935552,GALAXY,0.07208736,288,52000,389
1237648704577470535,184.350646587722,0.207229522687783,18.73832,18.60962,18.39696,18.31174,17.97663,752,301,4,272,323294660535543808,QSO,0.2719369,287,52023,587
1237648704577470556,184.221797167381,0.0469551812994854,19.05958,18.09512,17.92766,17.8927,17.90772,752,301,4,272,364801218494621696,STAR,0.0002099738,324,51666,35
1237648704577470571,184.245664287357,0.198257076934407,19.22143,19.30248,19.13823,19.11351,19.23454,752,301,4,272,323293561023916032,QSO,1.178098,287,52023,583
1237648704577536044,184.388869555822,0.0682874275127467,19.04397,17.51106,16.87335,16.61114,16.48303,752,301,4,273,363838320330958848,STAR,0.0002400984,323,51615,628
1237648704577536186,184.38091910014,0.174322769799921,17.81661,16.86976,16.53884,16.19576,16.08668,752,301,4,273,323307030041356288,GALAXY,0.07277206,287,52023,632
1237648704577536223,184.466853071054,0.111965321115041,19.3932,18.48274,18.16551,18.05122,18.04328,752,301,4,273,364962846703904768,STAR,-0.0002702182,324,51666,623
1237648704577601553,184.56941092437,0.137091485331373,17.51339,16.41793,16.06695,15.93751,15.89478,752,301,4,274,324377404225120256,STAR,-3.548175E-05,288,52000,430
1237648704577601580,184.654170271373,0.122673445871218,19.07731,18.64518,18.49678,18.52677,18.45765,752,301,4,274,324374930323957760,QSO,0.9251733,288,52000,421
1237648704577601583,184.658795469677,0.159935506727761,18.63032,17.23437,16.72749,16.51772,16.44039,752,301,4,274,2880149887696005120,STAR,4.313261E-06,2558,54140,356
1237648704577601603,184.516834223026,0.145549585698252,19.21684,18.29956,18.19589,18.14758,18.26658,752,301,4,274,3722388726953910272,STAR,8.799958E-05,3306,54922,595
1237648704577601667,184.61856312322,0.080576269050119,19.4127,17.47109,16.4987,16.06502,15.66848,752,301,4,274,324379328370468864,GALAXY,0.1167829,288,52000,437
1237648704577601678,184.627407857873,0.0132340863140159,18.48543,17.339,16.90179,16.66712,16.48684,752,301,4,274,323308404430891008,GALAXY,0.02129653,287,52023,637
1237648704577667080,184.676761920852,0.0594418690633144,17.72835,16.19783,15.66073,15.51586,15.43615,752,301,4,275,2880150437451819008,STAR,0.0001753645,2558,54140,358
